133869,2,1090,6,0,0,0,0,0,2,1
133880,3,5910,13,2,0,282,4293,159.0,5,1
133966,4,12315,39,6,0,336,3667,244.0,14,1
131389,9,8955,2,0,0,0,0,0,2,1
88874,15,2808,54,1,0,0,20376,0,4,1
15780,8,4073,16,1,0,0,63872,0,6,1
8955,14,7752,36,2,0,64,11914,275.5,8,1
133898,2,3985,8,1,0,92,10490,208.0,3,1
89615,117,43585,591,1,0,25,13969,281.0,48,1
4828,13,18312,80,1,0,107,9764,193.0,21,1
133765,13,15305,44,3,0,161,7477,246.33333333333334,14,1
120456,20,27995,99,1,0,103,9956,197.0,34,1
122041,8,7145,18,0,0,0,0,0,8,1
132751,6,1045,0,0,0,0,0,0,0,1
133891,2,610,4,0,0,0,0,0,1,1
133890,2,1190,2,0,0,0,0,0,1,1
101888,8,1470,28,1,0,138,8342,272.0,2,1
64360,162,28391,240,3,0,191,6440,236.33333333333334,23,1
133062,7,4420,0,0,0,0,0,0,0,1
132532,8,12025,38,4,0,490,2649,204.5,9,1
132366,3,5570,15,0,0,0,0,0,7,1
824,97,5991,269,2,0,233,5386,183.5,7,1
132809,3,1070,3,1,0,50,12668,250.0,1,1
86604,22,31610,49,2,0,141,8222,85.0,22,1
2359,2286,3063985,16653,26,11,2542,643,147.39583333333334,211,1
86993,5,3330,3,0,0,0,80077,0,2,1
51409,5,1985,3,0,0,0,80227,0,0,1
52332,33,4287,8,1,0,131,8655,187.0,4,1
132415,32,44180,126,12,0,1235,1125,186.84615384615384,47,1
39338,5,2353,3,1,0,108,9704,192.0,1,1
67292,10,14665,20,1,0,116,9368,0,4,1
122500,8,24865,97,2,0,128,8797,236.0,25,1
11288,26,5143,29,0,0,0,8924,0,4,1
122301,7,12045,34,1,0,37,13353,274.0,14,1
132245,3,1130,2,0,0,0,0,0,1,1
61518,10,1873,25,2,0,41,13127,0,3,1
133722,7,3240,12,1,0,14,14643,286.0,6,1
57115,27,12375,90,1,0,36,13373,275.0,16,1
133865,2,905,4,0,0,0,0,0,2,1
133821,5,3715,4,1,0,135,8502,178.0,2,1
133963,2,6360,24,2,0,161,7464,219.5,9,1
133097,3,1705,5,1,0,34,13523,266.0,1,1
133871,2,140,0,0,0,0,0,0,0,1
115783,6,16630,80,4,0,219,5741,245.25,13,1
133539,5,5865,29,0,0,0,0,0,9,1
84609,3,1250,0,0,0,0,51386,0,0,1
119313,11,11185,42,4,0,94,10386,276.5,13,1
133878,3,15970,6,1,0,70,11631,230.0,4,1
132767,7,3520,6,2,0,167,7258,216.5,3,1
133873,4,4540,15,0,0,0,0,0,6,1
